lemma,pos,cefr_level,frequency_rank
северный,adj,B1,1093
взрослый,n,A1,1094
что-нибудь,pron,B1,1095
родиться,v,A1,1096
кабинет,n,B1,1097
вспоминать,v,B1,1098
форум,n,B1,1099
лично,adv,B1,1100
духовный,adj,C2,1101
слабый,adj,A2,1102
гражданский,adj,B2,1103
наоборот,adv,B2,1104
итак,adv,C1,1105
журналист,n,B1,1106
проведение,n,B2,1107
выполнять,v,B2,1108
нынешний,adj,C1,1109
снег,n,A1,1110
лист,n,A2,1111
использоваться,v,B2,1112
обеспечение,n,C1,1113
комиссия,n,B1,1114
слава,n,B2,1115
черт,n,B2,1116
древний,adj,B1,1117
явно,adv,C1,1118
бить,v,A2,1119
зуб,n,A1,1120
традиция,n,B1,1121
невозможный,adj,B2,1122
высота,n,A2,1123
иностранный,adj,A1,1124
естественный,adj,B2,1125
председатель,n,B1,1126
массовый,adj,B2,1127
звонить,v,A2,1128
сосед,n,A1,1129
ясно,adv,A2,1130
молчать,v,A2,1131
украина,n prop,A1,1132
дальнейший,adj,C1,1133
прочитать,v,A1,1134
остров,n prop,A2,1135
приятный,adj,A2,1136
наличие,n,B2,1137
понятный,adj,A1,1138
сад,n,A2,1139
падать,v,A1,1140
кухня,n,A1,1141
мастер,n,B1,1142
карман,n,B1,1143
детство,n,A2,1144
сомнение,n,B2,1145
сотня,n,B1,1146
десяток,n,B1,1147
покупать,v,A1,1148
участок,n,B2,1149
обещать,v,B1,1150
прошлое,n,A1,1151
согласно,adv,C1,1152
строительство,n,B1,1153
разумеется,adv,C2,1154
пиво,n,A1,1155
тонкий,adj,A2,1156
устройство,n,C1,1157
смеяться,v,A2,1158
богатый,adj,A1,1159
яркий,adj,A2,1160
соответствовать,v,B2,1161
слеза,n,A2,1162
согласный,adj,A1,1163
библиотека,n,A1,1164
общение,n,B1,1165
частность,n,C1,1166
верный,adj,A2,1167
отличие,n,B1,1168
поезд,n,A2,1169
официальный,adj,A2,1170
мелкий,adj,B1,1171
продукция,n,B2,1172
применение,n,B2,1173
царь,n,B2,1174
состояться,v,B1,1175
поток,n,B2,1176
польза,n,A2,1177
обратно,adv,A2,1178
мешать,v,A2,1179
настроение,n,A2,1180
постепенно,adv,B1,1181
двое,num,B2,1182
редакция,n,B2,1183
нечто,pron,C2,1184
толпа,n,B2,1185
здоровый,adj,A1,1186
планета,n,B1,1187
поколение,n,B2,1188
реакция,n,B2,1189
умный,adj,A1,1190
вероятно,adv,B2,1191
механизм,n,B2,1192
собственно,adv,C1,1193
птица,n,A2,1194
относительно,adv,C1,1195
сквозь,adpos,B2,1196
хозяйство,n,B1,1197
жертва,n,B2,1198
открывать,v,A1,1199
ученик,n,A1,1200
организм,n,B1,1201
заявление,n,B1,1202
достижение,n,B2,1203
вверх,adv,A2,1204
бутылка,n,A1,1205
определять,v,B2,1206
доля,n,B2,1207
уехать,v,A1,1208
мозг,n,B1,1209
рисунок,n,A1,1210
прежний,adj,B2,1211
музей,n,A2,1212
зависимость,n,B2,1213
дождь,n,A1,1214
реализация,n,C1,1215
улыбка,n,A2,1216
восток,n prop,A1,1217
трудный,adj,A1,1218
собрание,n,B2,1219
хлеб,n,A1,1220
бабушка,n,A1,1221
тень,n,B1,1222
испытывать,v,B1,1223
стихи,n,A2,1224
домашний,adj,A2,1225
полагать,v,C1,1226
снимать,v,A1,1227
сегодняшний,adj,B1,1228
активный,adj,A2,1229
получение,n,B1,1230
помещение,n,B2,1231
опасный,adj,A1,1232
очевидно,adv,C1,1233
кожа,n,A1,1234
