lemma,pos,frequency_rank,cefr_level,notes
пожилой,adj,595,A1,
дедушка,n,596,A1,
сахар,n,597,A1,
мебель,n,598,A1,
чашка,n,599,A1,
артист,n,600,A1,
сладкий,adj,601,A1,
фото,n,602,a1,
молодец,excl,603,A1,
тарелка,n,604,A1,
сок,n,605,A1,
громкий,adj,606,A1,
класть,v,607,A1,
электрический,adj,608,A1,
словарь,n,609,A1,
блюдо,n,610,A1,
посол,n,611,a1,
мука,n,612,A1,
лампа,n,613,A1,
ошибаться,v,614,A1,
африка,n prop,615,A1,
красиво,adv,616,a1,
белорусский,adj,617,A1,
голодный,adj,618,A1,
одеяло,n,619,A1,
подушка,n,620,A1,
нормально,adv,621,a1,
внук,n,622,A1,
книжный,adj,623,A1,
плавать,v,624,a1,
перерыв,n,625,A1,
верх,n,626,A1,
поздравлять,v,627,A1,
бассейн,n,628,A1,
милиционер,n,629,A1,
дешево,adv,630,A1,
куртка,n,631,A1,
евро,n,632,a1,
двести,num,633,A1,
ботинок,n,634,a1,
холодильник,n,635,A1,
копейка,n,636,A1,
чемодан,n,637,A1,
виза,n,638,A1,
плита,n,639,a1,
проход,n,640,a1,
столовая,n,641,a1,
переводчик,n,642,A1,
грамм,n,643,A1,
печь,n,644,a1,
такси,n,645,A1,
соль,n,646,A1,
брюки,n,647,a1,
китаец,n,648,A1,
засыпать,v,649,a1,
видео,n,650,A1,
футбол,n,651,A1,
посторонний,adj,652,a1,
курица,n,653,A1,
ложка,n,654,A1,
молодой человек,mwe,655,a1,
полгода,n,656,A1,
мыть,v,657,A1,
шапка,n,658,A1,
посуда,n,659,A1,
ванная,n,660,A1,
проспект,n,661,A1,
темно,adv,662,A1,
японец,n,663,A1,
ломать,v,664,a1,
пальто,n,665,a1,
арабский,adj,666,A1,
велосипед,n,667,a1,
картошка,n,668,A1,
вкусный,adj,669,A1,
шестьдесят,num,670,A1,
штраф,n,671,A1,
испанский,adj,672,A1,
прошедший,adj,673,a1,
обувь,n,674,a1,
сыр,n,675,A1,
национальность,n,676,a1,
фрукт,n,677,A1,
открыто,adv,678,A1,
дарить,v,679,A1,
юбка,n,680,a1,
на помощь,mwe,681,a1,
ванна,n,682,A1,
лук,n,683,A1,
белоруссия,n prop,684,A1,
кружка,n,685,A1,
сдача,n,686,A1,
кончаться,v,687,A1,
пиджак,n,688,A1,
сотовый,adj,689,A1,
чемпион,n,690,A1,
носок,n,691,a1,
мяч,n,692,a1,
конверт,n,693,A1,
карандаш,n,694,A1,
индекс,n,695,A1,
кинотеатр,n,696,A1,
учительница,n,697,A1,
себе,pron,698,a1,
коньяк,n,699,A1,
касса,n,700,A1,
поесть,v,701,A1,
спортсмен,n,702,A1,
медленный,adj,703,A1,
оранжевый,adj,704,A1,
одиннадцать,num,705,A1,
госпожа,n,706,a1,
мыло,n,707,A1,
финский,adj,708,A1,
триста,num,709,A1,
суп,n,710,A1,
общежитие,n,711,a1,
соседка,n,712,A1,
мышка,n,713,A1,
овощ,n,714,A1,
пожарный,adj,715,A1,
переулок,n,716,A1,
одеваться,v,717,A1,
трамвай,n,718,A1,
мед,n,719,A1,
женатый,adj,720,A1,
заполнять,v,721,A1,
актриса,n,722,A1,
грек,n,723,A1,
коричневый,adj,724,A1,
тротуар,N,725,A1,
поляк,n,726,A1,
вежливо,adv,727,a1,
чайник,N,728,A1,
душ,n,729,A1,
невысокий,adj,730,A1,
усталый,adj,731,a1,
